video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"mWypE4NyV40","Kanchrapara! We heard you crave for fried chicken, that’s why we are HERE!","2020-12-15T10:46:13Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-15T10:46:13Z","[none]","55235","18","4","0","https://i.ytimg.com/vi/mWypE4NyV40/default.jpg","False","False","KFC now open at Kanchrapara.ORDER NOW!"']
['"vda2CIs8X1s","Bengaluru! We heard you crave for fried chicken, that’s why we are HERE!","2020-12-15T09:25:07Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-15T09:25:07Z","[none]","469","16","2","0","https://i.ytimg.com/vi/vda2CIs8X1s/default.jpg","False","False","KFC now open at Banashankari, 3rd stage, Ring road, Bengaluru."']
['"5ybkW44loCg","KFC BIG TREAT WEEK. Save upto 42%","2020-12-14T05:58:37Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-14T05:58:37Z","[none]","2116","20","6","0","https://i.ytimg.com/vi/5ybkW44loCg/default.jpg","False","False","Get your favourites starting at Rs.149. Valid from 14 Dec- 20 Dec"']
['"FPJQeBa-ntQ","Bengaluru! We heard you crave for fried chicken!","2020-12-11T10:32:14Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-11T10:32:14Z","[none]","1960","35","10","0","https://i.ytimg.com/vi/FPJQeBa-ntQ/default.jpg","False","False","KFC now open on BTM Layout, Kuvempu Nagar 16th Road."']
['"h9Y5D1ADcxA","KFC BIG TREAT WEEK! 7 DAYS OF 🍗🍗🍗🍗🍗🍗🍗.","2020-12-11T08:24:41Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-11T08:24:41Z","[none]","67971","71","31","0","https://i.ytimg.com/vi/h9Y5D1ADcxA/default.jpg","False","False","Great deals starting at Rs. 149 & save upto 42%There’s something for everyone!Valid from 14 Dec - 20 Dec"']
['"NqfVRywWCGU","KFC BIG TREAT WEEK! 7 DAYS OF 🍗🍗🍗🍗🍗🍗🍗.","2020-12-11T08:23:23Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-11T08:23:23Z","[none]","118026","408","71","0","https://i.ytimg.com/vi/NqfVRywWCGU/default.jpg","False","False","Great deals starting at Rs. 149 & save upto 42%There’s something for everyone!Valid from 14 Dec - 20 Dec"']
['"WcTkOEGH7_4","Get ready for KFC BIG TREAT WEEK 🍗🍗🍗","2020-12-11T05:53:11Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-11T05:53:11Z","[none]","36136","21","7","0","https://i.ytimg.com/vi/WcTkOEGH7_4/default.jpg","False","False","14 Dec - 20 DecSavings up to 42% and upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**TnC Apply"']
['"tGfMudiK0vU","Get ready for KFC BIG TREAT WEEK 🍗🍗🍗","2020-12-11T05:51:30Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-11T05:51:30Z","[none]","929000","10","1","0","https://i.ytimg.com/vi/tGfMudiK0vU/default.jpg","False","False","14 Dec - 20 DecSavings up to 42% and upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone!**TnC Apply"']
['"VYKKGIlJkIo","We are now open at Kozhikode!","2020-12-07T10:40:39Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-07T10:40:39Z","[none]","32485","63","27","0","https://i.ytimg.com/vi/VYKKGIlJkIo/default.jpg","False","False","KFC Fans walk-in today to celebrate and enjoy FREE Fried Chicken !"']
['"MbNXQAkKp-Q","We are now open at Kozhikode!","2020-12-07T10:39:08Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-07T10:39:08Z","[none]","15373","27","12","0","https://i.ytimg.com/vi/MbNXQAkKp-Q/default.jpg","False","False","KFC Fans walk-in today to celebrate and enjoy FREE Fried Chicken !"']
['"PyRUwuQeB84","Kozhikode! We are now open at another location near you 🍗🍗🍗","2020-12-04T13:31:53Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-04T13:31:53Z","[none]","11669","61","20","0","https://i.ytimg.com/vi/PyRUwuQeB84/default.jpg","False","False","KFC Fans walk-in today to celebrate and enjoy FREE Fried Chicken!*TnC apply"']
['"gFIeaOp9MWo","Aaj kuch special le jao! \'Cos there’s something for everyone!","2020-12-03T11:43:57Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-03T11:43:57Z","[none]","1792117","5899","3131","0","https://i.ytimg.com/vi/gFIeaOp9MWo/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourites in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"5iF5i38QP84","Aaj kuch special le jao! \'Cos there’s something for everyone!","2020-12-03T11:41:36Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-03T11:41:36Z","[none]","8068","69","28","0","https://i.ytimg.com/vi/5iF5i38QP84/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourites in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"7r5e55ibsTA","The all-new KFC Group Meals!","2020-11-21T09:27:42Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-21T09:27:42Z","[none]","2243985","139","21","0","https://i.ytimg.com/vi/7r5e55ibsTA/default.jpg","False","False","Find your favorite, get ordering.T&C Apply."']
['"78l7fcku3bo","KFC Bucket Slide 02","2020-11-20T09:35:58Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-20T09:35:58Z","[none]","187100","468","139","0","https://i.ytimg.com/vi/78l7fcku3bo/default.jpg","False","False",""']
